t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920181,4882,55.834020,32.633926,12.033476,4.461106,events/second
1548920182,4882,55.188058,32.633926,12.033476,4.461106,events/second
1548920183,4882,54.592706,32.633926,12.033476,4.461106,events/second
1548920184,4882,53.988045,40.354923,13.970069,5.152178,events/second
1548920185,4882,53.398414,40.354923,13.970069,5.152178,events/second
1548920186,4882,52.820045,40.354923,13.970069,5.152178,events/second
1548920187,4882,52.254223,40.354923,13.970069,5.152178,events/second
1548920188,4882,51.700219,40.354923,13.970069,5.152178,events/second
1548920189,4882,51.153832,37.128322,13.739164,5.123635,events/second
1548920190,4882,50.619291,37.128322,13.739164,5.123635,events/second
1548920191,4882,50.102705,37.128322,13.739164,5.123635,events/second
1548920192,4882,49.590933,37.128322,13.739164,5.123635,events/second
1548920193,4882,49.097052,37.128322,13.739164,5.123635,events/second
1548920194,4882,48.609855,34.159705,13.512075,5.095249,events/second
1548920195,4882,48.132372,34.159705,13.512075,5.095249,events/second
1548920196,4882,47.663580,34.159705,13.512075,5.095249,events/second
1548920197,4882,47.200188,34.159705,13.512075,5.095249,events/second
1548920198,4882,46.751214,34.159705,13.512075,5.095249,events/second
1548920199,4882,46.305907,31.428446,13.288740,5.067020,events/second
1548920200,5528,51.941340,31.428446,13.288740,5.067020,events/second
1548920201,5528,51.453358,31.428446,13.288740,5.067020,events/second
1548920202,5528,50.980390,31.428446,13.288740,5.067020,events/second
1548920203,5528,50.518095,31.428446,13.288740,5.067020,events/second
1548920204,5528,50.055311,39.245828,15.204585,5.754736,events/second
1548920205,5528,49.608061,39.245828,15.204585,5.754736,events/second
1548920206,5528,49.167344,39.245828,15.204585,5.754736,events/second
1548920207,5528,48.735571,39.245828,15.204585,5.754736,events/second
1548920208,5528,48.309639,39.245828,15.204585,5.754736,events/second
1548920209,5528,47.877424,36.107905,14.953275,5.722854,events/second
1548920210,5528,47.477179,36.107905,14.953275,5.722854,events/second
1548920211,5528,47.075615,36.107905,14.953275,5.722854,events/second
1548920212,5528,46.676155,36.107905,14.953275,5.722854,events/second
1548920213,5528,46.277874,36.107905,14.953275,5.722854,events/second
1548920214,5528,45.896546,33.220876,14.706119,5.691148,events/second
1548920215,5528,45.508711,33.220876,14.706119,5.691148,events/second
1548920216,5528,45.136990,33.220876,14.706119,5.691148,events/second
1548920217,5528,44.765926,33.220876,14.706119,5.691148,events/second
1548920218,5528,44.407902,33.220876,14.706119,5.691148,events/second
1548920219,5528,44.049598,30.564681,14.463049,5.659619,events/second
1548920220,6174,48.804439,30.564681,14.463049,5.659619,events/second
1548920221,6174,48.422278,30.564681,14.463049,5.659619,events/second
1548920222,6174,48.047415,30.564681,14.463049,5.659619,events/second
1548920223,6174,47.675012,30.564681,14.463049,5.659619,events/second
1548920224,6174,47.312861,38.451126,16.359484,6.344051,events/second
1548920225,6174,46.944176,38.451126,16.359484,6.344051,events/second
1548920226,6174,46.577405,38.451126,16.359484,6.344051,events/second
1548920227,6174,46.231703,38.451126,16.359484,6.344051,events/second
1548920228,6174,45.891875,38.451126,16.359484,6.344051,events/second
1548920229,6174,45.549875,35.376744,16.089085,6.308904,events/second
1548920230,6174,45.216168,35.376744,16.089085,6.308904,events/second
1548920231,6174,44.889821,35.376744,16.089085,6.308904,events/second
1548920232,6174,44.555670,35.376744,16.089085,6.308904,events/second
1548920233,6174,44.248803,35.376744,16.089085,6.308904,events/second
1548920234,6174,43.836096,32.548175,15.823156,6.273952,events/second
1548920235,6174,43.505529,32.548175,15.823156,6.273952,events/second
1548920236,6174,43.041501,32.548175,15.823156,6.273952,events/second
1548920238,6820,46.624655,40.276029,17.697110,6.954981,events/second
1548920240,6820,46.305897,40.276029,17.697110,6.954981,events/second
1548920241,6820,46.110650,40.276029,17.697110,6.954981,events/second
1548920242,6820,45.927051,40.276029,17.697110,6.954981,events/second
1548920242,6820,45.740871,40.276029,17.697110,6.954981,events/second
1548920243,6820,45.561169,40.276029,17.697110,6.954981,events/second
1548920243,6820,45.374291,37.055735,17.404603,6.916449,events/second
1548920244,6820,45.243786,37.055735,17.404603,6.916449,events/second
1548920245,6820,45.018941,37.055735,17.404603,6.916449,events/second
1548920246,6820,44.682318,37.055735,17.404603,6.916449,events/second
1548920247,6820,44.428916,37.055735,17.404603,6.916449,events/second
1548920248,6820,44.134753,37.055735,17.404603,6.916449,events/second
1548920249,6820,43.850971,34.092922,17.116930,6.878131,events/second
1548920250,6820,43.589731,34.092922,17.116930,6.878131,events/second
1548920251,6820,43.313147,34.092922,17.116930,6.878131,events/second
1548920252,6820,43.039577,34.092922,17.116930,6.878131,events/second
1548920253,6820,42.765920,34.092922,17.116930,6.878131,events/second
1548920254,6820,42.499793,31.367003,16.834012,6.840025,events/second
1548920255,6820,42.238619,31.367003,16.834012,6.840025,events/second
1548920256,6820,41.974580,31.367003,16.834012,6.840025,events/second
1548920257,6820,41.721515,31.367003,16.834012,6.840025,events/second
1548920258,6820,41.467699,31.367003,16.834012,6.840025,events/second
1548920259,6820,41.219452,28.859036,16.555770,6.802130,events/second
1548920260,7466,44.851726,28.859036,16.555770,6.802130,events/second
1548920261,7466,44.576322,28.859036,16.555770,6.802130,events/second
1548920262,7466,44.316403,28.859036,16.555770,6.802130,events/second
1548920263,7466,44.055957,28.859036,16.555770,6.802130,events/second
