t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920194,3,0.028814,0.123174,0.437144,0.539895,events/second
1548920195,3,0.028541,0.113325,0.429919,0.536904,events/second
1548920196,3,0.028273,0.113325,0.429919,0.536904,events/second
1548920197,3,0.028008,0.113325,0.429919,0.536904,events/second
1548920198,3,0.027750,0.113325,0.429919,0.536904,events/second
1548920199,3,0.027495,0.113325,0.429919,0.536904,events/second
1548920200,3,0.027245,0.104264,0.422813,0.533929,events/second
1548920201,3,0.026998,0.104264,0.422813,0.533929,events/second
1548920202,3,0.026758,0.104264,0.422813,0.533929,events/second
1548920203,3,0.026523,0.104264,0.422813,0.533929,events/second
1548920204,3,0.026288,0.104264,0.422813,0.533929,events/second
1548920205,3,0.026061,0.095928,0.415824,0.530971,events/second
1548920206,3,0.025837,0.095928,0.415824,0.530971,events/second
1548920207,3,0.025617,0.095928,0.415824,0.530971,events/second
1548920208,3,0.025400,0.095928,0.415824,0.530971,events/second
1548920209,3,0.025180,0.095928,0.415824,0.530971,events/second
1548920210,3,0.024976,0.088258,0.408951,0.528029,events/second
1548920211,3,0.024771,0.088258,0.408951,0.528029,events/second
1548920212,3,0.024567,0.088258,0.408951,0.528029,events/second
1548920213,3,0.024364,0.088258,0.408951,0.528029,events/second
1548920214,3,0.024169,0.088258,0.408951,0.528029,events/second
1548920215,3,0.023971,0.081201,0.402192,0.525104,events/second
1548920216,3,0.023781,0.081201,0.402192,0.525104,events/second
1548920217,3,0.023591,0.081201,0.402192,0.525104,events/second
1548920218,3,0.023408,0.081201,0.402192,0.525104,events/second
1548920219,3,0.023224,0.081201,0.402192,0.525104,events/second
1548920220,3,0.023044,0.074709,0.395544,0.522195,events/second
1548920221,3,0.022869,0.074709,0.395544,0.522195,events/second
1548920222,3,0.022698,0.074709,0.395544,0.522195,events/second
1548920223,3,0.022526,0.074709,0.395544,0.522195,events/second
1548920224,3,0.022360,0.074709,0.395544,0.522195,events/second
1548920225,3,0.022191,0.068735,0.389007,0.519302,events/second
1548920226,3,0.022022,0.068735,0.389007,0.519302,events/second
1548920227,3,0.021863,0.068735,0.389007,0.519302,events/second
1548920228,3,0.021707,0.068735,0.389007,0.519302,events/second
1548920229,3,0.021549,0.068735,0.389007,0.519302,events/second
1548920230,3,0.021396,0.063240,0.382577,0.516425,events/second
1548920231,3,0.021245,0.063240,0.382577,0.516425,events/second
1548920232,3,0.021091,0.063240,0.382577,0.516425,events/second
1548920233,3,0.020949,0.063240,0.382577,0.516425,events/second
1548920234,3,0.020762,0.063240,0.382577,0.516425,events/second
1548920235,3,0.020610,0.058183,0.376253,0.513564,events/second
1548920236,3,0.020415,0.058183,0.376253,0.513564,events/second
1548920238,3,0.020008,0.058183,0.376253,0.513564,events/second
1548920240,3,0.019877,0.053531,0.370035,0.510718,events/second
1548920241,3,0.019793,0.053531,0.370035,0.510718,events/second
1548920242,3,0.019715,0.053531,0.370035,0.510718,events/second
1548920242,3,0.019638,0.053531,0.370035,0.510718,events/second
1548920243,3,0.019563,0.053531,0.370035,0.510718,events/second
1548920243,3,0.019484,0.053531,0.370035,0.510718,events/second
1548920244,3,0.019428,0.053531,0.370035,0.510718,events/second
1548920245,3,0.019334,0.049251,0.363918,0.507889,events/second
1548920246,3,0.019194,0.049251,0.363918,0.507889,events/second
1548920247,3,0.019086,0.049251,0.363918,0.507889,events/second
1548920248,3,0.018963,0.049251,0.363918,0.507889,events/second
1548920249,3,0.018844,0.049251,0.363918,0.507889,events/second
1548920250,3,0.018734,0.045313,0.357903,0.505075,events/second
1548920251,3,0.018618,0.045313,0.357903,0.505075,events/second
1548920252,3,0.018503,0.045313,0.357903,0.505075,events/second
1548920253,3,0.018388,0.045313,0.357903,0.505075,events/second
1548920254,3,0.018276,0.045313,0.357903,0.505075,events/second
1548920255,3,0.018166,0.041690,0.351988,0.502277,events/second
1548920256,3,0.018055,0.041690,0.351988,0.502277,events/second
1548920257,3,0.017949,0.041690,0.351988,0.502277,events/second
1548920258,3,0.017842,0.041690,0.351988,0.502277,events/second
1548920259,3,0.017737,0.041690,0.351988,0.502277,events/second
1548920260,3,0.017633,0.038357,0.346170,0.499494,events/second
1548920261,3,0.017527,0.038357,0.346170,0.499494,events/second
1548920262,3,0.017427,0.038357,0.346170,0.499494,events/second
1548920263,3,0.017327,0.038357,0.346170,0.499494,events/second
