t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920123,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.030912,0.131848,0.184009,0.194521,calls/second,milliseconds
1548920124,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.029981,0.131848,0.184009,0.194521,calls/second,milliseconds
1548920125,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.029105,0.131848,0.184009,0.194521,calls/second,milliseconds
1548920126,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.028289,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920127,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.027508,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920128,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.026771,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920129,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.026078,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920130,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.025398,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920131,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.024786,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920132,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.024181,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920133,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.023598,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920134,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.023069,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920135,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.022550,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920136,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.022049,0.102683,0.175035,0.191306,calls/second,milliseconds
1548920137,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.021575,0.102683,0.175035,0.191306,calls/second,milliseconds
1548920138,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.021120,0.102683,0.175035,0.191306,calls/second,milliseconds
1548920139,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.020684,0.102683,0.175035,0.191306,calls/second,milliseconds
1548920140,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.020263,0.102683,0.175035,0.191306,calls/second,milliseconds
1548920141,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.019855,0.094473,0.172142,0.190246,calls/second,milliseconds
1548920142,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.019469,0.094473,0.172142,0.190246,calls/second,milliseconds
1548920143,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.019102,0.094473,0.172142,0.190246,calls/second,milliseconds
1548920144,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.018744,0.094473,0.172142,0.190246,calls/second,milliseconds
1548920145,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.018401,0.094473,0.172142,0.190246,calls/second,milliseconds
1548920146,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.018066,0.086920,0.169296,0.189192,calls/second,milliseconds
1548920147,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.017746,0.086920,0.169296,0.189192,calls/second,milliseconds
1548920148,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.017436,0.086920,0.169296,0.189192,calls/second,milliseconds
1548920149,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.017138,0.086920,0.169296,0.189192,calls/second,milliseconds
1548920150,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.016849,0.086920,0.169296,0.189192,calls/second,milliseconds
1548920151,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.016569,0.079970,0.166498,0.188144,calls/second,milliseconds
1548920152,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.016297,0.079970,0.166498,0.188144,calls/second,milliseconds
1548920153,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.016035,0.079970,0.166498,0.188144,calls/second,milliseconds
1548920154,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.015785,0.079970,0.166498,0.188144,calls/second,milliseconds
1548920155,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.015539,0.079970,0.166498,0.188144,calls/second,milliseconds
1548920156,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.015300,0.073576,0.163746,0.187101,calls/second,milliseconds
1548920157,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.015070,0.073576,0.163746,0.187101,calls/second,milliseconds
1548920158,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.014845,0.073576,0.163746,0.187101,calls/second,milliseconds
1548920159,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.014630,0.073576,0.163746,0.187101,calls/second,milliseconds
1548920160,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.014417,0.073576,0.163746,0.187101,calls/second,milliseconds
1548920161,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.014214,0.067693,0.161040,0.186065,calls/second,milliseconds
1548920162,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.014012,0.067693,0.161040,0.186065,calls/second,milliseconds
1548920163,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.013819,0.067693,0.161040,0.186065,calls/second,milliseconds
1548920164,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.013631,0.067693,0.161040,0.186065,calls/second,milliseconds
1548920165,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.013449,0.067693,0.161040,0.186065,calls/second,milliseconds
1548920166,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.013269,0.062281,0.158378,0.185034,calls/second,milliseconds
1548920167,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.013091,0.062281,0.158378,0.185034,calls/second,milliseconds
1548920168,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.012926,0.062281,0.158378,0.185034,calls/second,milliseconds
1548920169,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.012753,0.062281,0.158378,0.185034,calls/second,milliseconds
1548920170,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.012595,0.062281,0.158378,0.185034,calls/second,milliseconds
1548920171,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.012441,0.057301,0.155760,0.184009,calls/second,milliseconds
1548920172,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.012269,0.057301,0.155760,0.184009,calls/second,milliseconds
1548920173,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.012137,0.057301,0.155760,0.184009,calls/second,milliseconds
1548920174,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.011994,0.057301,0.155760,0.184009,calls/second,milliseconds
1548920175,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.011854,0.057301,0.155760,0.184009,calls/second,milliseconds
1548920176,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.011715,0.052719,0.153186,0.182989,calls/second,milliseconds
1548920177,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.011579,0.052719,0.153186,0.182989,calls/second,milliseconds
1548920178,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.011447,0.052719,0.153186,0.182989,calls/second,milliseconds
1548920179,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.011317,0.052719,0.153186,0.182989,calls/second,milliseconds
1548920180,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.011188,0.052719,0.153186,0.182989,calls/second,milliseconds
1548920181,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.011065,0.048504,0.150654,0.181976,calls/second,milliseconds
1548920182,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010942,0.048504,0.150654,0.181976,calls/second,milliseconds
1548920183,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010827,0.048504,0.150654,0.181976,calls/second,milliseconds
1548920184,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010711,0.048504,0.150654,0.181976,calls/second,milliseconds
1548920185,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010598,0.048504,0.150654,0.181976,calls/second,milliseconds
1548920186,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010486,0.044626,0.148164,0.180967,calls/second,milliseconds
