t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920196,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920197,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920198,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920199,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920200,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920201,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920202,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920203,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920204,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920205,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920206,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920207,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920208,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920209,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920210,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920211,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920212,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920213,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920214,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920215,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920216,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920217,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920218,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920219,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920220,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920221,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920222,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920223,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920224,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920225,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920226,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920227,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920228,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920229,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920230,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920231,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920232,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920233,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920234,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920235,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920236,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920238,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920240,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920241,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920242,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920242,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920243,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920243,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920244,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920245,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920246,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920247,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920248,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920249,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920250,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920251,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920252,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920253,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920254,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920255,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920256,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920257,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920258,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920259,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920260,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920261,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920262,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920263,0,0.000000,0.000000,0.000000,0.000000,events/second
