t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920194,33,0.316976,1.354912,4.808586,5.938842,events/second
1548920195,33,0.313971,1.246579,4.729107,5.905939,events/second
1548920196,33,0.311018,1.246579,4.729107,5.905939,events/second
1548920197,33,0.308100,1.246579,4.729107,5.905939,events/second
1548920198,33,0.305268,1.246579,4.729107,5.905939,events/second
1548920199,33,0.302458,1.246579,4.729107,5.905939,events/second
1548920200,33,0.299715,1.146908,4.650941,5.873220,events/second
1548920201,33,0.296998,1.146908,4.650941,5.873220,events/second
1548920202,33,0.294354,1.146908,4.650941,5.873220,events/second
1548920203,33,0.291770,1.146908,4.650941,5.873220,events/second
1548920204,33,0.289185,1.146908,4.650941,5.873220,events/second
1548920205,33,0.286683,1.055206,4.574068,5.840681,events/second
1548920206,33,0.284218,1.055206,4.574068,5.840681,events/second
1548920207,33,0.281798,1.055206,4.574068,5.840681,events/second
1548920208,33,0.279412,1.055206,4.574068,5.840681,events/second
1548920209,33,0.276991,1.055206,4.574068,5.840681,events/second
1548920210,33,0.274747,0.970837,4.498465,5.808323,events/second
1548920211,33,0.272492,0.970837,4.498465,5.808323,events/second
1548920212,33,0.270250,0.970837,4.498465,5.808323,events/second
1548920213,33,0.268015,0.970837,4.498465,5.808323,events/second
1548920214,33,0.265870,0.970837,4.498465,5.808323,events/second
1548920215,33,0.263695,0.893213,4.424112,5.776144,events/second
1548920216,33,0.261602,0.893213,4.424112,5.776144,events/second
1548920217,33,0.259514,0.893213,4.424112,5.776144,events/second
1548920218,33,0.257500,0.893213,4.424112,5.776144,events/second
1548920219,33,0.255490,0.893213,4.424112,5.776144,events/second
1548920220,33,0.253509,0.821796,4.350988,5.744143,events/second
1548920221,33,0.251586,0.821796,4.350988,5.744143,events/second
1548920222,33,0.249696,0.821796,4.350988,5.744143,events/second
1548920223,33,0.247808,0.821796,4.350988,5.744143,events/second
1548920224,33,0.245981,0.821796,4.350988,5.744143,events/second
1548920225,33,0.244119,0.756088,4.279073,5.712320,events/second
1548920226,33,0.242265,0.756088,4.279073,5.712320,events/second
1548920227,33,0.240520,0.756088,4.279073,5.712320,events/second
1548920228,33,0.238793,0.756088,4.279073,5.712320,events/second
1548920229,33,0.237059,0.756088,4.279073,5.712320,events/second
1548920230,33,0.235376,0.695635,4.208346,5.680673,events/second
1548920231,33,0.233718,0.695635,4.208346,5.680673,events/second
1548920232,33,0.232017,0.695635,4.208346,5.680673,events/second
1548920233,33,0.230459,0.695635,4.208346,5.680673,events/second
1548920234,33,0.228428,0.695635,4.208346,5.680673,events/second
1548920235,33,0.226750,0.640015,4.138788,5.649201,events/second
1548920236,33,0.224615,0.640015,4.138788,5.649201,events/second
1548920238,33,0.220124,0.640015,4.138788,5.649201,events/second
1548920240,33,0.218683,0.588842,4.070380,5.617903,events/second
1548920241,33,0.217743,0.588842,4.070380,5.617903,events/second
1548920242,33,0.216895,0.588842,4.070380,5.617903,events/second
1548920242,33,0.216041,0.588842,4.070380,5.617903,events/second
1548920243,33,0.215225,0.588842,4.070380,5.617903,events/second
1548920243,33,0.214340,0.588842,4.070380,5.617903,events/second
1548920244,33,0.213725,0.588842,4.070380,5.617903,events/second
1548920245,33,0.212690,0.541761,4.003102,5.586779,events/second
1548920246,33,0.211151,0.541761,4.003102,5.586779,events/second
1548920247,33,0.209966,0.541761,4.003102,5.586779,events/second
1548920248,33,0.208608,0.541761,4.003102,5.586779,events/second
1548920249,33,0.207297,0.541761,4.003102,5.586779,events/second
1548920250,33,0.206088,0.498444,3.936937,5.555828,events/second
1548920251,33,0.204808,0.498444,3.936937,5.555828,events/second
1548920252,33,0.203544,0.498444,3.936937,5.555828,events/second
1548920253,33,0.202280,0.498444,3.936937,5.555828,events/second
1548920254,33,0.201049,0.498444,3.936937,5.555828,events/second
1548920255,33,0.199840,0.458591,3.871865,5.525048,events/second
1548920256,33,0.198619,0.458591,3.871865,5.525048,events/second
1548920257,33,0.197448,0.458591,3.871865,5.525048,events/second
1548920258,33,0.196273,0.458591,3.871865,5.525048,events/second
1548920259,33,0.195124,0.458591,3.871865,5.525048,events/second
1548920260,33,0.193973,0.421924,3.807869,5.494438,events/second
1548920261,33,0.192807,0.421924,3.807869,5.494438,events/second
1548920262,33,0.191707,0.421924,3.807869,5.494438,events/second
1548920263,33,0.190604,0.421924,3.807869,5.494438,events/second
