t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920124,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.063492,0.147839,0.187315,0.195629,calls/second,milliseconds
1548920125,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.061532,0.147839,0.187315,0.195629,calls/second,milliseconds
1548920126,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.059711,0.147839,0.187315,0.195629,calls/second,milliseconds
1548920127,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.057973,0.147839,0.187315,0.195629,calls/second,milliseconds
1548920128,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.056340,0.136019,0.184219,0.194545,calls/second,milliseconds
1548920129,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.054807,0.136019,0.184219,0.194545,calls/second,milliseconds
1548920130,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.053307,0.136019,0.184219,0.194545,calls/second,milliseconds
1548920131,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.051961,0.136019,0.184219,0.194545,calls/second,milliseconds
1548920132,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.050632,0.136019,0.184219,0.194545,calls/second,milliseconds
1548920133,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.049357,0.125143,0.181174,0.193467,calls/second,milliseconds
1548920134,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.048200,0.125143,0.181174,0.193467,calls/second,milliseconds
1548920135,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.047069,0.125143,0.181174,0.193467,calls/second,milliseconds
1548920136,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.045979,0.125143,0.181174,0.193467,calls/second,milliseconds
1548920137,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.044948,0.125143,0.181174,0.193467,calls/second,milliseconds
1548920138,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.043962,0.115137,0.178179,0.192395,calls/second,milliseconds
1548920139,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.043017,0.115137,0.178179,0.192395,calls/second,milliseconds
1548920140,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.042108,0.115137,0.178179,0.192395,calls/second,milliseconds
1548920141,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.041236,0.115137,0.178179,0.192395,calls/second,milliseconds
1548920142,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.040398,0.115137,0.178179,0.192395,calls/second,milliseconds
1548920143,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.039607,0.105931,0.175234,0.191330,calls/second,milliseconds
1548920144,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.038838,0.105931,0.175234,0.191330,calls/second,milliseconds
1548920145,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.038101,0.105931,0.175234,0.191330,calls/second,milliseconds
1548920146,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.037385,0.105931,0.175234,0.191330,calls/second,milliseconds
1548920147,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.036701,0.105931,0.175234,0.191330,calls/second,milliseconds
1548920148,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.036038,0.097462,0.172338,0.190270,calls/second,milliseconds
1548920149,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.035402,0.097462,0.172338,0.190270,calls/second,milliseconds
1548920150,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.034784,0.097462,0.172338,0.190270,calls/second,milliseconds
1548920151,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.034189,0.097462,0.172338,0.190270,calls/second,milliseconds
1548920152,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.033611,0.097462,0.172338,0.190270,calls/second,milliseconds
1548920153,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.033053,0.089669,0.169489,0.189215,calls/second,milliseconds
1548920154,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.032521,0.089669,0.169489,0.189215,calls/second,milliseconds
1548920155,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.031999,0.089669,0.169489,0.189215,calls/second,milliseconds
1548920156,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.031494,0.089669,0.169489,0.189215,calls/second,milliseconds
1548920157,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.031007,0.089669,0.169489,0.189215,calls/second,milliseconds
1548920158,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.030531,0.082499,0.166688,0.188167,calls/second,milliseconds
1548920159,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.030076,0.082499,0.166688,0.188167,calls/second,milliseconds
1548920160,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.029626,0.082499,0.166688,0.188167,calls/second,milliseconds
1548920161,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.029198,0.082499,0.166688,0.188167,calls/second,milliseconds
1548920162,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.028773,0.082499,0.166688,0.188167,calls/second,milliseconds
1548920163,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.028366,0.075903,0.163933,0.187125,calls/second,milliseconds
1548920164,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.027970,0.075903,0.163933,0.187125,calls/second,milliseconds
1548920165,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.027587,0.075903,0.163933,0.187125,calls/second,milliseconds
1548920166,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.027209,0.075903,0.163933,0.187125,calls/second,milliseconds
1548920167,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.026835,0.075903,0.163933,0.187125,calls/second,milliseconds
1548920168,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.026488,0.069834,0.161223,0.186088,calls/second,milliseconds
1548920169,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.026124,0.069834,0.161223,0.186088,calls/second,milliseconds
1548920170,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.025794,0.069834,0.161223,0.186088,calls/second,milliseconds
1548920171,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.025472,0.069834,0.161223,0.186088,calls/second,milliseconds
1548920172,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.025111,0.069834,0.161223,0.186088,calls/second,milliseconds
1548920173,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.024834,0.064251,0.158558,0.185057,calls/second,milliseconds
1548920174,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.024534,0.064251,0.158558,0.185057,calls/second,milliseconds
1548920175,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.024242,0.064251,0.158558,0.185057,calls/second,milliseconds
1548920176,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.023950,0.064251,0.158558,0.185057,calls/second,milliseconds
1548920177,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.023667,0.064251,0.158558,0.185057,calls/second,milliseconds
1548920178,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.023392,0.059113,0.155938,0.184032,calls/second,milliseconds
1548920179,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.023120,0.059113,0.155938,0.184032,calls/second,milliseconds
1548920180,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.022850,0.059113,0.155938,0.184032,calls/second,milliseconds
1548920181,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.022595,0.059113,0.155938,0.184032,calls/second,milliseconds
1548920182,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.022337,0.059113,0.155938,0.184032,calls/second,milliseconds
1548920183,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.022099,0.054387,0.153360,0.183012,calls/second,milliseconds
1548920184,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.021857,0.054387,0.153360,0.183012,calls/second,milliseconds
1548920185,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.021621,0.054387,0.153360,0.183012,calls/second,milliseconds
1548920186,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.021389,0.054387,0.153360,0.183012,calls/second,milliseconds
1548920187,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.021163,0.054387,0.153360,0.183012,calls/second,milliseconds
